# x_m,y_m,w_tr_right_m,w_tr_left_m
1.8000,0.0400,1.4500,1.4500
1.7500,0.0400,1.4500,1.4500
1.7000,0.0400,1.4500,1.4500
1.6500,0.0400,1.4500,1.4500
1.6000,0.0400,1.4500,1.4500
1.5500,0.0400,1.4500,1.4500
1.5000,0.0400,1.4500,1.4500
1.4500,0.0400,1.4500,1.4500
1.4000,0.0400,1.4500,1.4500
1.3500,0.0400,1.4500,1.4500
1.3000,0.0400,1.4500,1.4500
1.2500,0.0400,1.4500,1.4500
1.2000,0.0400,1.4500,1.4500
1.1500,0.0400,1.4500,1.4500
1.1000,0.0400,1.4500,1.4500
1.0500,0.0400,1.4500,1.4500
1.0000,0.0400,1.4500,1.4500
0.9500,0.0400,1.4500,1.4500
0.9000,0.0400,1.4500,1.4500
0.8500,0.0400,1.4500,1.4500
0.8000,0.0400,1.4500,1.4500
0.7500,0.0400,1.4500,1.4500
0.7000,-0.0100,1.4000,1.4000
0.6500,-0.0100,1.4000,1.4000
0.6000,-0.0100,1.4009,1.4009
0.5500,-0.0100,1.4036,1.4036
0.5000,-0.0100,1.4080,1.4080
0.4500,-0.0100,1.4142,1.4142
0.4000,-0.0100,1.4221,1.4221
0.3500,-0.0100,1.4318,1.4318
0.3000,-0.0100,1.4431,1.4431
0.2500,-0.0100,1.4500,1.4500
0.2000,-0.0100,1.4500,1.4500
0.1500,-0.0100,1.4500,1.4500
0.1000,-0.0100,1.4500,1.4500
0.0500,-0.0100,1.4500,1.4500
0.0000,-0.0100,1.4500,1.4500
-0.0500,-0.0100,1.4500,1.4500
-0.1000,-0.0100,1.4500,1.4500
-0.1500,-0.0100,1.4500,1.4500
-0.2000,-0.0100,1.4500,1.4500
-0.2500,-0.0100,1.4500,1.4500
-0.3000,-0.0100,1.4500,1.4500
-0.3500,-0.0100,1.4500,1.4500
-0.4000,-0.0100,1.4509,1.4509
-0.4500,-0.0100,1.4534,1.4534
-0.5000,-0.0100,1.4509,1.4509
-0.5500,-0.0100,1.4500,1.4500
-0.6000,-0.0100,1.4500,1.4500
-0.6500,-0.0600,1.4318,1.4318
-0.7000,-0.0600,1.4431,1.4431
-0.7500,-0.0600,1.4500,1.4500
-0.8000,-0.0600,1.4500,1.4500
-0.8500,-0.0600,1.4500,1.4500
-0.9000,-0.0600,1.4500,1.4500
-0.9500,-0.0600,1.4500,1.4500
-1.0000,-0.0100,1.4500,1.4500
-1.0500,-0.0100,1.4500,1.4500
-1.1000,0.0400,1.4000,1.4000
-1.1500,0.0400,1.4000,1.4000
-1.2000,0.0900,1.3500,1.3500
-1.2500,0.0900,1.3500,1.3500
-1.3000,0.1400,1.3000,1.3000
-1.3500,0.1900,1.2500,1.2500
-1.4000,0.1900,1.2500,1.2500
-1.4500,0.1900,1.2500,1.2500
-1.5000,0.2400,1.2000,1.2000
-1.5500,0.2400,1.1885,1.1885
-1.6000,0.2400,1.1769,1.1769
-1.6500,0.2900,1.1180,1.1180
-1.7000,0.2900,1.1102,1.1102
-1.7500,0.2900,1.1045,1.1045
-1.8000,0.2900,1.1011,1.1011
-1.8500,0.3400,1.0500,1.0500
-1.9000,0.3400,1.0500,1.0500
-1.9500,0.3400,1.0500,1.0500
-2.0000,0.3400,1.0500,1.0500
-2.0500,0.3400,1.0500,1.0500
-2.1000,0.3400,1.0500,1.0500
-2.1500,0.3400,1.0500,1.0500
-2.2000,0.3400,1.0512,1.0512
-2.2500,0.3400,1.0548,1.0548
-2.3000,0.3400,1.0607,1.0607
-2.3500,0.3400,1.0689,1.0689
-2.4000,0.3400,1.0794,1.0794
-2.4500,0.3400,1.0920,1.0920
-2.5000,0.3400,1.0770,1.0770
-2.5500,0.3400,1.0595,1.0595
-2.6000,0.3400,1.0440,1.0440
-2.6500,0.3400,1.0308,1.0308
-2.7000,0.3400,1.0198,1.0198
-2.7500,0.3400,1.0112,1.0112
-2.8000,0.3400,1.0050,1.0050
-2.8500,0.3400,1.0012,1.0012
-2.9000,0.3400,1.0000,1.0000
-2.9500,0.3400,1.0000,1.0000
-3.0000,0.3400,1.0000,1.0000
-3.0500,0.3900,1.0500,1.0500
-3.1000,0.3900,1.0500,1.0500
-3.1500,0.3900,1.0500,1.0500
-3.2000,0.3900,1.0500,1.0500
-3.2500,0.3900,1.0500,1.0500
-3.3000,0.3900,1.0500,1.0500
-3.3500,0.3900,1.0500,1.0500
-3.4000,0.3900,1.0512,1.0512
-3.4500,0.3900,1.0548,1.0548
-3.5000,0.3900,1.0607,1.0607
-3.5500,0.3900,1.0689,1.0689
-3.6000,0.3900,1.0794,1.0794
-3.6500,0.3900,1.0920,1.0920
-3.7000,0.3900,1.1000,1.1000
-3.7500,0.3900,1.1000,1.1000
-3.8000,0.3900,1.1000,1.1000
-3.8500,0.3900,1.1000,1.1000
-3.9000,0.3900,1.1000,1.1000
-3.9500,0.3900,1.1000,1.1000
-4.0000,0.3900,1.1011,1.1011
-4.0500,0.3400,1.1543,1.1543
-4.1000,0.3400,1.1597,1.1597
-4.1500,0.3400,1.1673,1.1673
-4.2000,0.3400,1.1769,1.1769
-4.2500,0.2900,1.2369,1.2369
-4.3000,0.2900,1.2500,1.2500
-4.3500,0.2900,1.2500,1.2500
-4.4000,0.2900,1.2510,1.2510
-4.4500,0.2900,1.2540,1.2540
-4.5000,0.2400,1.3086,1.3086
-4.5500,0.1900,1.3647,1.3647
-4.6000,0.1400,1.4080,1.4080
-4.6500,0.0900,1.4534,1.4534
-4.7000,0.0400,1.4500,1.4500
-4.7500,-0.0100,1.4000,1.4000
-4.7500,-0.0600,1.4000,1.4000
-4.7500,-0.1100,1.4000,1.4000
-4.8000,-0.1600,1.3500,1.3500
-4.8000,-0.2100,1.3500,1.3500
-4.8000,-0.2600,1.3500,1.3500
-4.8000,-0.3100,1.3500,1.3500
-4.8500,-0.3600,1.3000,1.3000
-4.8500,-0.4100,1.3000,1.3000
-4.8500,-0.4600,1.3000,1.3000
-4.8500,-0.5100,1.3000,1.3000
-4.8500,-0.5600,1.3000,1.3000
-4.8500,-0.6100,1.3000,1.3000
-4.8500,-0.6600,1.3000,1.3000
-4.8500,-0.7100,1.3000,1.3000
-4.8500,-0.7600,1.3000,1.3000
