# x_m,y_m,w_tr_right_m,w_tr_left_m
-5.9000,4.5600,1.5572,1.5572
-5.9500,4.5600,1.5532,1.5532
-6.0000,4.5600,1.5508,1.5508
-6.0500,4.5600,1.5403,1.5403
-6.1000,4.5600,1.5297,1.5297
-6.1500,4.5600,1.5207,1.5207
-6.2000,4.5600,1.5133,1.5133
-6.2500,4.5600,1.5075,1.5075
-6.3000,4.5600,1.5033,1.5033
-6.3500,4.5600,1.4916,1.4916
-6.4000,4.5600,1.4807,1.4807
-6.4500,4.5600,1.4705,1.4705
-6.5000,4.5600,1.4560,1.4560
-6.5500,4.5600,1.4431,1.4431
-6.6000,4.5600,1.4318,1.4318
-6.6500,4.5600,1.4221,1.4221
-6.7000,4.5600,1.4080,1.4080
-6.7500,4.5600,1.3946,1.3946
-6.8000,4.5600,1.3829,1.3829
-6.8500,4.5600,1.3730,1.3730
-6.9000,4.5600,1.3647,1.3647
-6.9500,4.5600,1.3583,1.3583
-7.0000,4.5600,1.3537,1.3537
-7.0500,4.5600,1.3509,1.3509
-7.1000,4.6100,1.3000,1.3000
-7.1500,4.6100,1.3000,1.3000
-7.2000,4.6100,1.3000,1.3000
-7.2500,4.6100,1.3000,1.3000
-7.3000,4.6100,1.3000,1.3000
-7.3500,4.6100,1.3000,1.3000
-7.4000,4.6100,1.3000,1.3000
-7.4500,4.6100,1.3010,1.3010
-7.5000,4.6600,1.2540,1.2540
-7.5500,4.6600,1.2590,1.2590
-7.6000,4.6600,1.2659,1.2659
-7.6500,4.6600,1.2748,1.2748
-7.7000,4.6600,1.2855,1.2855
-7.7500,4.6600,1.2981,1.2981
-7.8000,4.6600,1.3124,1.3124
-7.8500,4.6600,1.3238,1.3238
-7.9000,4.6600,1.3285,1.3285
-7.9500,4.7100,1.2981,1.2981
-8.0000,4.7100,1.3124,1.3124
-8.0500,4.7100,1.3285,1.3285
-8.1000,4.7100,1.3124,1.3124
-8.1500,4.7100,1.2981,1.2981
-8.2000,4.7100,1.2855,1.2855
-8.2500,4.7600,1.3238,1.3238
-8.3000,4.7600,1.3124,1.3124
-8.3500,4.7600,1.2981,1.2981
-8.4000,4.7600,1.2855,1.2855
-8.4500,4.8100,1.3238,1.3238
-8.5000,4.8100,1.3153,1.3153
-8.5500,4.8100,1.3086,1.3086
-8.6000,4.8100,1.3038,1.3038
-8.6500,4.8600,1.3463,1.3463
-8.7000,4.8600,1.3342,1.3342
-8.7500,4.9100,1.3730,1.3730
-8.8000,4.9100,1.3601,1.3601
-8.8500,4.9600,1.3946,1.3946
-8.9000,4.9600,1.3829,1.3829
-8.9500,4.9600,1.3730,1.3730
-9.0000,5.0100,1.4142,1.4142
-9.0500,5.0600,1.4577,1.4577
-9.1000,5.1100,1.5033,1.5033
-9.1500,5.1600,1.5508,1.5508
-9.2000,5.2100,1.6000,1.6000
-9.2500,5.2600,1.6378,1.6378
-9.3000,5.3100,1.6771,1.6771
-9.3500,5.3600,1.7183,1.7183
-9.3500,5.4100,1.7671,1.7671
-9.4000,5.4600,1.7923,1.7923
-9.4500,5.5100,1.8200,1.8200
-9.5000,5.5600,1.8500,1.8500
-9.5000,5.6100,1.8344,1.8344
-9.5500,5.6600,1.8682,1.8682
-9.6000,5.7100,1.9039,1.9039
-9.6500,5.7600,1.9416,1.9416
-9.7000,5.8100,1.9812,1.9812
-9.7500,5.8600,2.0224,2.0224
-9.7500,5.9100,2.0156,2.0156
-9.8000,5.9600,2.0597,2.0597
-9.8000,6.0100,2.0555,2.0555
-9.8500,6.0600,2.1024,2.1024
-9.9000,6.1100,2.1506,2.1506
-9.9500,6.1600,2.2000,2.2000
-10.0000,6.1600,2.2500,2.2500
-10.0500,6.2100,2.3000,2.3000
-10.0500,6.2600,2.3000,2.3000
-10.1000,6.3100,2.3500,2.3500
-10.1500,6.3600,2.4000,2.4000
-10.2000,6.3600,2.4500,2.4500
-10.2500,6.4100,2.4990,2.4990
-10.3000,6.4600,2.4622,2.4622
-10.3500,6.5100,2.4187,2.4187
-10.4000,6.5600,2.3759,2.3759
-10.4500,6.6100,2.3345,2.3345
-10.5000,6.6600,2.2946,2.2946
-10.5500,6.7100,2.2500,2.2500
-10.6000,6.7600,2.2006,2.2006
-10.6500,6.8100,2.1523,2.1523
